日期	農曆	天干	地支	月天干地支	節氣	八字流年	八字流月	紫微流月	流日命宮地支	流日四化
2025-02-15	正月十八	乙	卯	戊寅	立春	乙巳	戊寅	正月	寅	機梁紫陰
2025-02-16	正月十九	丙	辰	戊寅	立春	乙巳	戊寅	正月	卯	同機昌廉
2025-02-17	正月二十	丁	巳	戊寅	立春	乙巳	戊寅	正月	辰	陰同機巨
2025-02-18	正月廿一	戊	午	戊寅	雨水	乙巳	戊寅	正月	巳	貪陰右機
2025-02-19	正月廿二	己	未	戊寅	雨水	乙巳	戊寅	正月	午	武貪梁曲
2025-02-20	正月廿三	庚	申	戊寅	雨水	乙巳	戊寅	正月	未	陽武陰同
2025-02-21	正月廿四	辛	酉	戊寅	雨水	乙巳	戊寅	正月	申	巨陽曲昌
2025-02-22	正月廿五	壬	戌	戊寅	雨水	乙巳	戊寅	正月	酉	梁紫左武
2025-02-23	正月廿六	癸	亥	戊寅	雨水	乙巳	戊寅	正月	戌	破巨陰貪
2025-02-24	正月廿七	甲	子	戊寅	雨水	乙巳	戊寅	正月	亥	廉破武陽
2025-02-25	正月廿八	乙	丑	戊寅	雨水	乙巳	戊寅	正月	子	機梁紫陰
2025-02-26	正月廿九	丙	寅	戊寅	雨水	乙巳	戊寅	正月	丑	同機昌廉
2025-02-27	正月三十	丁	卯	戊寅	雨水	乙巳	戊寅	正月	寅	陰同機巨
2025-02-28	二月初一	戊	辰	戊寅	雨水	乙巳	戊寅	二月	戌	貪陰右機
2025-03-01	二月初二	己	巳	戊寅	雨水	乙巳	戊寅	二月	亥	武貪梁曲
2025-03-02	二月初三	庚	午	戊寅	雨水	乙巳	戊寅	二月	子	陽武陰同
2025-03-03	二月初四	辛	未	戊寅	雨水	乙巳	戊寅	二月	丑	巨陽曲昌
2025-03-04	二月初五	壬	申	戊寅	雨水	乙巳	戊寅	二月	寅	梁紫左武
2025-03-05	二月初六	癸	酉	戊寅	驚蟄	乙巳	戊寅	二月	卯	破巨陰貪
2025-03-06	二月初七	甲	戌	己卯	驚蟄	乙巳	己卯	二月	辰	廉破武陽
2025-03-07	二月初八	乙	亥	己卯	驚蟄	乙巳	己卯	二月	巳	機梁紫陰
2025-03-08	二月初九	丙	子	己卯	驚蟄	乙巳	己卯	二月	午	同機昌廉
2025-03-09	二月初十	丁	丑	己卯	驚蟄	乙巳	己卯	二月	未	陰同機巨
2025-03-10	二月十一	戊	寅	己卯	驚蟄	乙巳	己卯	二月	申	貪陰右機
2025-03-11	二月十二	己	卯	己卯	驚蟄	乙巳	己卯	二月	酉	武貪梁曲
2025-03-12	二月十三	庚	辰	己卯	驚蟄	乙巳	己卯	二月	戌	陽武陰同
2025-03-13	二月十四	辛	巳	己卯	驚蟄	乙巳	己卯	二月	亥	巨陽曲昌
2025-03-14	二月十五	壬	午	己卯	驚蟄	乙巳	己卯	二月	子	梁紫左武
2025-03-15	二月十六	癸	未	己卯	驚蟄	乙巳	己卯	二月	丑	破巨陰貪
2025-03-16	二月十七	甲	申	己卯	驚蟄	乙巳	己卯	二月	寅	廉破武陽
2025-03-17	二月十八	乙	酉	己卯	驚蟄	乙巳	己卯	二月	卯	機梁紫陰
2025-03-18	二月十九	丙	戌	己卯	驚蟄	乙巳	己卯	二月	辰	同機昌廉
2025-03-19	二月二十	丁	亥	己卯	驚蟄	乙巳	己卯	二月	巳	陰同機巨
2025-03-20	二月廿一	戊	子	己卯	春分	乙巳	己卯	二月	午	貪陰右機
2025-03-21	二月廿二	己	丑	己卯	春分	乙巳	己卯	二月	未	武貪梁曲
2025-03-22	二月廿三	庚	寅	己卯	春分	乙巳	己卯	二月	申	陽武陰同
2025-03-23	二月廿四	辛	卯	己卯	春分	乙巳	己卯	二月	酉	巨陽曲昌
2025-03-24	二月廿五	壬	辰	己卯	春分	乙巳	己卯	二月	戌	梁紫左武
2025-03-25	二月廿六	癸	巳	己卯	春分	乙巳	己卯	二月	亥	破巨陰貪
2025-03-26	二月廿七	甲	午	己卯	春分	乙巳	己卯	二月	子	廉破武陽
2025-03-27	二月廿八	乙	未	己卯	春分	乙巳	己卯	二月	丑	機梁紫陰
2025-03-28	二月廿九	丙	申	己卯	春分	乙巳	己卯	二月	寅	同機昌廉
2025-03-29	三月初一	丁	酉	己卯	春分	乙巳	己卯	三月	亥	陰同機巨
2025-03-30	三月初二	戊	戌	己卯	春分	乙巳	己卯	三月	子	貪陰右機
2025-03-31	三月初三	己	亥	己卯	春分	乙巳	己卯	三月	丑	武貪梁曲
2025-04-01	三月初四	庚	子	己卯	春分	乙巳	己卯	三月	寅	陽武陰同
2025-04-02	三月初五	辛	丑	己卯	春分	乙巳	己卯	三月	卯	巨陽曲昌
2025-04-03	三月初六	壬	寅	己卯	春分	乙巳	己卯	三月	辰	梁紫左武
2025-04-04	三月初七	癸	卯	己卯	春分	乙巳	己卯	三月	巳	破巨陰貪
2025-04-05	三月初八	甲	辰	庚辰	清明	乙巳	庚辰	三月	午	廉破武陽
2025-04-06	三月初九	乙	巳	庚辰	清明	乙巳	庚辰	三月	未	機梁紫陰
2025-04-07	三月初十	丙	午	庚辰	清明	乙巳	庚辰	三月	申	同機昌廉
2025-04-08	三月十一	丁	未	庚辰	清明	乙巳	庚辰	三月	酉	陰同機巨
2025-04-09	三月十二	戊	申	庚辰	清明	乙巳	庚辰	三月	戌	貪陰右機
2025-04-10	三月十三	己	酉	庚辰	清明	乙巳	庚辰	三月	亥	武貪梁曲
2025-04-11	三月十四	庚	戌	庚辰	清明	乙巳	庚辰	三月	子	陽武陰同
2025-04-12	三月十五	辛	亥	庚辰	清明	乙巳	庚辰	三月	丑	巨陽曲昌
2025-04-13	三月十六	壬	子	庚辰	清明	乙巳	庚辰	三月	寅	梁紫左武
2025-04-14	三月十七	癸	丑	庚辰	清明	乙巳	庚辰	三月	卯	破巨陰貪
2025-04-15	三月十八	甲	寅	庚辰	清明	乙巳	庚辰	三月	辰	廉破武陽
2025-04-16	三月十九	乙	卯	庚辰	清明	乙巳	庚辰	三月	巳	機梁紫陰
2025-04-17	三月二十	丙	辰	庚辰	清明	乙巳	庚辰	三月	午	同機昌廉
2025-04-18	三月廿一	丁	巳	庚辰	清明	乙巳	庚辰	三月	未	陰同機巨
2025-04-19	三月廿二	戊	午	庚辰	清明	乙巳	庚辰	三月	申	貪陰右機
2025-04-20	三月廿三	己	未	庚辰	谷雨	乙巳	庚辰	三月	酉	武貪梁曲
2025-04-21	三月廿四	庚	申	庚辰	谷雨	乙巳	庚辰	三月	戌	陽武陰同
2025-04-22	三月廿五	辛	酉	庚辰	谷雨	乙巳	庚辰	三月	亥	巨陽曲昌
2025-04-23	三月廿六	壬	戌	庚辰	谷雨	乙巳	庚辰	三月	子	梁紫左武
2025-04-24	三月廿七	癸	亥	庚辰	谷雨	乙巳	庚辰	三月	丑	破巨陰貪
2025-04-25	三月廿八	甲	子	庚辰	谷雨	乙巳	庚辰	三月	寅	廉破武陽
2025-04-26	三月廿九	乙	丑	庚辰	谷雨	乙巳	庚辰	三月	卯	機梁紫陰
2025-04-27	三月三十	丙	寅	庚辰	谷雨	乙巳	庚辰	三月	辰	同機昌廉
2025-04-28	四月初一	丁	卯	庚辰	谷雨	乙巳	庚辰	四月	子	陰同機巨
2025-04-29	四月初二	戊	辰	庚辰	谷雨	乙巳	庚辰	四月	丑	貪陰右機
2025-04-30	四月初三	己	巳	庚辰	谷雨	乙巳	庚辰	四月	寅	武貪梁曲
2025-05-01	四月初四	庚	午	庚辰	谷雨	乙巳	庚辰	四月	卯	陽武陰同
2025-05-02	四月初五	辛	未	庚辰	谷雨	乙巳	庚辰	四月	辰	巨陽曲昌
2025-05-03	四月初六	壬	申	庚辰	谷雨	乙巳	庚辰	四月	巳	梁紫左武
2025-05-04	四月初七	癸	酉	庚辰	谷雨	乙巳	庚辰	四月	午	破巨陰貪
2025-05-05	四月初八	甲	戌	辛巳	立夏	乙巳	辛巳	四月	未	廉破武陽
2025-05-06	四月初九	乙	亥	辛巳	立夏	乙巳	辛巳	四月	申	機梁紫陰
2025-05-07	四月初十	丙	子	辛巳	立夏	乙巳	辛巳	四月	酉	同機昌廉
2025-05-08	四月十一	丁	丑	辛巳	立夏	乙巳	辛巳	四月	戌	陰同機巨
2025-05-09	四月十二	戊	寅	辛巳	立夏	乙巳	辛巳	四月	亥	貪陰右機
2025-05-10	四月十三	己	卯	辛巳	立夏	乙巳	辛巳	四月	子	武貪梁曲
2025-05-11	四月十四	庚	辰	辛巳	立夏	乙巳	辛巳	四月	丑	陽武陰同
2025-05-12	四月十五	辛	巳	辛巳	立夏	乙巳	辛巳	四月	寅	巨陽曲昌
2025-05-13	四月十六	壬	午	辛巳	立夏	乙巳	辛巳	四月	卯	梁紫左武
2025-05-14	四月十七	癸	未	辛巳	立夏	乙巳	辛巳	四月	辰	破巨陰貪
2025-05-15	四月十八	甲	申	辛巳	立夏	乙巳	辛巳	四月	巳	廉破武陽
2025-05-16	四月十九	乙	酉	辛巳	立夏	乙巳	辛巳	四月	午	機梁紫陰
2025-05-17	四月二十	丙	戌	辛巳	立夏	乙巳	辛巳	四月	未	同機昌廉
2025-05-18	四月廿一	丁	亥	辛巳	立夏	乙巳	辛巳	四月	申	陰同機巨
2025-05-19	四月廿二	戊	子	辛巳	立夏	乙巳	辛巳	四月	酉	貪陰右機
2025-05-20	四月廿三	己	丑	辛巳	立夏	乙巳	辛巳	四月	戌	武貪梁曲
2025-05-21	四月廿四	庚	寅	辛巳	小滿	乙巳	辛巳	四月	亥	陽武陰同
2025-05-22	四月廿五	辛	卯	辛巳	小滿	乙巳	辛巳	四月	子	巨陽曲昌
2025-05-23	四月廿六	壬	辰	辛巳	小滿	乙巳	辛巳	四月	丑	梁紫左武
2025-05-24	四月廿七	癸	巳	辛巳	小滿	乙巳	辛巳	四月	寅	破巨陰貪
2025-05-25	四月廿八	甲	午	辛巳	小滿	乙巳	辛巳	四月	卯	廉破武陽
2025-05-26	四月廿九	乙	未	辛巳	小滿	乙巳	辛巳	四月	辰	機梁紫陰
2025-05-27	五月初一	丙	申	辛巳	小滿	乙巳	辛巳	五月	丑	同機昌廉
2025-05-28	五月初二	丁	酉	辛巳	小滿	乙巳	辛巳	五月	寅	陰同機巨
2025-05-29	五月初三	戊	戌	辛巳	小滿	乙巳	辛巳	五月	卯	貪陰右機
2025-05-30	五月初四	己	亥	辛巳	小滿	乙巳	辛巳	五月	辰	武貪梁曲
2025-05-31	五月初五	庚	子	辛巳	小滿	乙巳	辛巳	五月	巳	陽武陰同
2025-06-01	五月初六	辛	丑	辛巳	小滿	乙巳	辛巳	五月	午	巨陽曲昌
2025-06-02	五月初七	壬	寅	辛巳	小滿	乙巳	辛巳	五月	未	梁紫左武
2025-06-03	五月初八	癸	卯	辛巳	小滿	乙巳	辛巳	五月	申	破巨陰貪
2025-06-04	五月初九	甲	辰	辛巳	小滿	乙巳	辛巳	五月	酉	廉破武陽
2025-06-05	五月初十	乙	巳	辛巳	芒種	乙巳	辛巳	五月	戌	機梁紫陰
2025-06-06	五月十一	丙	午	壬午	芒種	乙巳	壬午	五月	亥	同機昌廉
2025-06-07	五月十二	丁	未	壬午	芒種	乙巳	壬午	五月	子	陰同機巨
2025-06-08	五月十三	戊	申	壬午	芒種	乙巳	壬午	五月	丑	貪陰右機
2025-06-09	五月十四	己	酉	壬午	芒種	乙巳	壬午	五月	寅	武貪梁曲
2025-06-10	五月十五	庚	戌	壬午	芒種	乙巳	壬午	五月	卯	陽武陰同
2025-06-11	五月十六	辛	亥	壬午	芒種	乙巳	壬午	五月	辰	巨陽曲昌
2025-06-12	五月十七	壬	子	壬午	芒種	乙巳	壬午	五月	巳	梁紫左武
2025-06-13	五月十八	癸	丑	壬午	芒種	乙巳	壬午	五月	午	破巨陰貪
2025-06-14	五月十九	甲	寅	壬午	芒種	乙巳	壬午	五月	未	廉破武陽
2025-06-15	五月二十	乙	卯	壬午	芒種	乙巳	壬午	五月	申	機梁紫陰
2025-06-16	五月廿一	丙	辰	壬午	芒種	乙巳	壬午	五月	酉	同機昌廉
2025-06-17	五月廿二	丁	巳	壬午	芒種	乙巳	壬午	五月	戌	陰同機巨
2025-06-18	五月廿三	戊	午	壬午	芒種	乙巳	壬午	五月	亥	貪陰右機
2025-06-19	五月廿四	己	未	壬午	芒種	乙巳	壬午	五月	子	武貪梁曲
2025-06-20	五月廿五	庚	申	壬午	芒種	乙巳	壬午	五月	丑	陽武陰同
2025-06-21	五月廿六	辛	酉	壬午	夏至	乙巳	壬午	五月	寅	巨陽曲昌
2025-06-22	五月廿七	壬	戌	壬午	夏至	乙巳	壬午	五月	卯	梁紫左武
2025-06-23	五月廿八	癸	亥	壬午	夏至	乙巳	壬午	五月	辰	破巨陰貪
2025-06-24	五月廿九	甲	子	壬午	夏至	乙巳	壬午	五月	巳	廉破武陽
2025-06-25	六月初一	乙	丑	壬午	夏至	乙巳	壬午	六月	寅	機梁紫陰
2025-06-26	六月初二	丙	寅	壬午	夏至	乙巳	壬午	六月	卯	同機昌廉
2025-06-27	六月初三	丁	卯	壬午	夏至	乙巳	壬午	六月	辰	陰同機巨
2025-06-28	六月初四	戊	辰	壬午	夏至	乙巳	壬午	六月	巳	貪陰右機
2025-06-29	六月初五	己	巳	壬午	夏至	乙巳	壬午	六月	午	武貪梁曲
2025-06-30	六月初六	庚	午	壬午	夏至	乙巳	壬午	六月	未	陽武陰同
2025-07-01	六月初七	辛	未	壬午	夏至	乙巳	壬午	六月	申	巨陽曲昌
2025-07-02	六月初八	壬	申	壬午	夏至	乙巳	壬午	六月	酉	梁紫左武
2025-07-03	六月初九	癸	酉	壬午	夏至	乙巳	壬午	六月	戌	破巨陰貪
2025-07-04	六月初十	甲	戌	壬午	夏至	乙巳	壬午	六月	亥	廉破武陽
2025-07-05	六月十一	乙	亥	壬午	夏至	乙巳	壬午	六月	子	機梁紫陰
2025-07-06	六月十二	丙	子	壬午	夏至	乙巳	壬午	六月	丑	同機昌廉
2025-07-07	六月十三	丁	丑	癸未	小暑	乙巳	癸未	六月	寅	陰同機巨
2025-07-08	六月十四	戊	寅	癸未	小暑	乙巳	癸未	六月	卯	貪陰右機
2025-07-09	六月十五	己	卯	癸未	小暑	乙巳	癸未	六月	辰	武貪梁曲
2025-07-10	六月十六	庚	辰	癸未	小暑	乙巳	癸未	六月	巳	陽武陰同
2025-07-11	六月十七	辛	巳	癸未	小暑	乙巳	癸未	六月	午	巨陽曲昌
2025-07-12	六月十八	壬	午	癸未	小暑	乙巳	癸未	六月	未	梁紫左武
2025-07-13	六月十九	癸	未	癸未	小暑	乙巳	癸未	六月	申	破巨陰貪
2025-07-14	六月二十	甲	申	癸未	小暑	乙巳	癸未	六月	酉	廉破武陽
2025-07-15	六月廿一	乙	酉	癸未	小暑	乙巳	癸未	六月	戌	機梁紫陰
2025-07-16	六月廿二	丙	戌	癸未	小暑	乙巳	癸未	六月	亥	同機昌廉
2025-07-17	六月廿三	丁	亥	癸未	小暑	乙巳	癸未	六月	子	陰同機巨
2025-07-18	六月廿四	戊	子	癸未	小暑	乙巳	癸未	六月	丑	貪陰右機
2025-07-19	六月廿五	己	丑	癸未	小暑	乙巳	癸未	六月	寅	武貪梁曲
2025-07-20	六月廿六	庚	寅	癸未	小暑	乙巳	癸未	六月	卯	陽武陰同
2025-07-21	六月廿七	辛	卯	癸未	小暑	乙巳	癸未	六月	辰	巨陽曲昌
2025-07-22	六月廿八	壬	辰	癸未	小暑	乙巳	癸未	六月	巳	梁紫左武
2025-07-23	六月廿九	癸	巳	癸未	大暑	乙巳	癸未	六月	午	破巨陰貪
2025-07-24	六月三十	甲	午	癸未	大暑	乙巳	癸未	六月	未	廉破武陽
2025-07-25	閏六月初一	乙	未	癸未	大暑	乙巳	癸未	六月	寅	機梁紫陰
2025-07-26	閏六月初二	丙	申	癸未	大暑	乙巳	癸未	六月	卯	同機昌廉
2025-07-27	閏六月初三	丁	酉	癸未	大暑	乙巳	癸未	六月	辰	陰同機巨
2025-07-28	閏六月初四	戊	戌	癸未	大暑	乙巳	癸未	六月	巳	貪陰右機
2025-07-29	閏六月初五	己	亥	癸未	大暑	乙巳	癸未	六月	午	武貪梁曲
2025-07-30	閏六月初六	庚	子	癸未	大暑	乙巳	癸未	六月	未	陽武陰同
2025-07-31	閏六月初七	辛	丑	癸未	大暑	乙巳	癸未	六月	申	巨陽曲昌
2025-08-01	閏六月初八	壬	寅	癸未	大暑	乙巳	癸未	六月	酉	梁紫左武
2025-08-02	閏六月初九	癸	卯	癸未	大暑	乙巳	癸未	六月	戌	破巨陰貪
2025-08-03	閏六月初十	甲	辰	癸未	大暑	乙巳	癸未	六月	亥	廉破武陽
2025-08-04	閏六月十一	乙	巳	癸未	大暑	乙巳	癸未	六月	子	機梁紫陰
2025-08-05	閏六月十二	丙	午	癸未	大暑	乙巳	癸未	六月	丑	同機昌廉
2025-08-06	閏六月十三	丁	未	癸未	大暑	乙巳	癸未	六月	寅	陰同機巨
2025-08-07	閏六月十四	戊	申	癸未	立秋	乙巳	癸未	六月	卯	貪陰右機
2025-08-08	閏六月十五	己	酉	甲申	立秋	乙巳	甲申	六月	辰	武貪梁曲
2025-08-09	閏六月十六	庚	戌	甲申	立秋	乙巳	甲申	六月	巳	陽武陰同
2025-08-10	閏六月十七	辛	亥	甲申	立秋	乙巳	甲申	六月	午	巨陽曲昌
2025-08-11	閏六月十八	壬	子	甲申	立秋	乙巳	甲申	六月	未	梁紫左武
2025-08-12	閏六月十九	癸	丑	甲申	立秋	乙巳	甲申	六月	申	破巨陰貪
2025-08-13	閏六月二十	甲	寅	甲申	立秋	乙巳	甲申	六月	酉	廉破武陽
2025-08-14	閏六月廿一	乙	卯	甲申	立秋	乙巳	甲申	六月	戌	機梁紫陰
2025-08-15	閏六月廿二	丙	辰	甲申	立秋	乙巳	甲申	六月	亥	同機昌廉
2025-08-16	閏六月廿三	丁	巳	甲申	立秋	乙巳	甲申	六月	子	陰同機巨
2025-08-17	閏六月廿四	戊	午	甲申	立秋	乙巳	甲申	六月	丑	貪陰右機
2025-08-18	閏六月廿五	己	未	甲申	立秋	乙巳	甲申	六月	寅	武貪梁曲
2025-08-19	閏六月廿六	庚	申	甲申	立秋	乙巳	甲申	六月	卯	陽武陰同
2025-08-20	閏六月廿七	辛	酉	甲申	立秋	乙巳	甲申	六月	辰	巨陽曲昌
2025-08-21	閏六月廿八	壬	戌	甲申	立秋	乙巳	甲申	六月	巳	梁紫左武
2025-08-22	閏六月廿九	癸	亥	甲申	立秋	乙巳	甲申	六月	午	破巨陰貪
2025-08-23	七月初一	甲	子	甲申	處暑	乙巳	甲申	七月	卯	廉破武陽
2025-08-24	七月初二	乙	丑	甲申	處暑	乙巳	甲申	七月	辰	機梁紫陰
2025-08-25	七月初三	丙	寅	甲申	處暑	乙巳	甲申	七月	巳	同機昌廉
2025-08-26	七月初四	丁	卯	甲申	處暑	乙巳	甲申	七月	午	陰同機巨
2025-08-27	七月初五	戊	辰	甲申	處暑	乙巳	甲申	七月	未	貪陰右機
2025-08-28	七月初六	己	巳	甲申	處暑	乙巳	甲申	七月	申	武貪梁曲
2025-08-29	七月初七	庚	午	甲申	處暑	乙巳	甲申	七月	酉	陽武陰同
2025-08-30	七月初八	辛	未	甲申	處暑	乙巳	甲申	七月	戌	巨陽曲昌
2025-08-31	七月初九	壬	申	甲申	處暑	乙巳	甲申	七月	亥	梁紫左武
2025-09-01	七月初十	癸	酉	甲申	處暑	乙巳	甲申	七月	子	破巨陰貪
2025-09-02	七月十一	甲	戌	甲申	處暑	乙巳	甲申	七月	丑	廉破武陽
2025-09-03	七月十二	乙	亥	甲申	處暑	乙巳	甲申	七月	寅	機梁紫陰
2025-09-04	七月十三	丙	子	甲申	處暑	乙巳	甲申	七月	卯	同機昌廉
2025-09-05	七月十四	丁	丑	甲申	處暑	乙巳	甲申	七月	辰	陰同機巨
2025-09-06	七月十五	戊	寅	甲申	處暑	乙巳	甲申	七月	巳	貪陰右機
2025-09-07	七月十六	己	卯	甲申	白露	乙巳	甲申	七月	午	武貪梁曲
2025-09-08	七月十七	庚	辰	乙酉	白露	乙巳	乙酉	七月	未	陽武陰同
2025-09-09	七月十八	辛	巳	乙酉	白露	乙巳	乙酉	七月	申	巨陽曲昌
2025-09-10	七月十九	壬	午	乙酉	白露	乙巳	乙酉	七月	酉	梁紫左武
2025-09-11	七月二十	癸	未	乙酉	白露	乙巳	乙酉	七月	戌	破巨陰貪
2025-09-12	七月廿一	甲	申	乙酉	白露	乙巳	乙酉	七月	亥	廉破武陽
2025-09-13	七月廿二	乙	酉	乙酉	白露	乙巳	乙酉	七月	子	機梁紫陰
2025-09-14	七月廿三	丙	戌	乙酉	白露	乙巳	乙酉	七月	丑	同機昌廉
2025-09-15	七月廿四	丁	亥	乙酉	白露	乙巳	乙酉	七月	寅	陰同機巨
2025-09-16	七月廿五	戊	子	乙酉	白露	乙巳	乙酉	七月	卯	貪陰右機
2025-09-17	七月廿六	己	丑	乙酉	白露	乙巳	乙酉	七月	辰	武貪梁曲
2025-09-18	七月廿七	庚	寅	乙酉	白露	乙巳	乙酉	七月	巳	陽武陰同
2025-09-19	七月廿八	辛	卯	乙酉	白露	乙巳	乙酉	七月	午	巨陽曲昌
2025-09-20	七月廿九	壬	辰	乙酉	白露	乙巳	乙酉	七月	未	梁紫左武
2025-09-21	七月三十	癸	巳	乙酉	白露	乙巳	乙酉	七月	申	破巨陰貪
2025-09-22	八月初一	甲	午	乙酉	白露	乙巳	乙酉	八月	辰	廉破武陽
2025-09-23	八月初二	乙	未	乙酉	秋分	乙巳	乙酉	八月	巳	機梁紫陰
2025-09-24	八月初三	丙	申	乙酉	秋分	乙巳	乙酉	八月	午	同機昌廉
2025-09-25	八月初四	丁	酉	乙酉	秋分	乙巳	乙酉	八月	未	陰同機巨
2025-09-26	八月初五	戊	戌	乙酉	秋分	乙巳	乙酉	八月	申	貪陰右機
2025-09-27	八月初六	己	亥	乙酉	秋分	乙巳	乙酉	八月	酉	武貪梁曲
2025-09-28	八月初七	庚	子	乙酉	秋分	乙巳	乙酉	八月	戌	陽武陰同
2025-09-29	八月初八	辛	丑	乙酉	秋分	乙巳	乙酉	八月	亥	巨陽曲昌
2025-09-30	八月初九	壬	寅	乙酉	秋分	乙巳	乙酉	八月	子	梁紫左武
2025-10-01	八月初十	癸	卯	乙酉	秋分	乙巳	乙酉	八月	丑	破巨陰貪
2025-10-02	八月十一	甲	辰	乙酉	秋分	乙巳	乙酉	八月	寅	廉破武陽
2025-10-03	八月十二	乙	巳	乙酉	秋分	乙巳	乙酉	八月	卯	機梁紫陰
2025-10-04	八月十三	丙	午	乙酉	秋分	乙巳	乙酉	八月	辰	同機昌廉
2025-10-05	八月十四	丁	未	乙酉	秋分	乙巳	乙酉	八月	巳	陰同機巨
2025-10-06	八月十五	戊	申	乙酉	秋分	乙巳	乙酉	八月	午	貪陰右機
2025-10-07	八月十六	己	酉	乙酉	秋分	乙巳	乙酉	八月	未	武貪梁曲
